Detailed.Parameter,Simple.Parameter,Specific.Metric,Reference,Experiment.Type,Environment,General.Taxon.Grouping.1,General.Taxon.Grouping.2,General.Taxon.Grouping.3,Heterotroph.or.Autotroph,Species,Life.Stage,Resource.General,Resource.Species,Resource.life.stage,Max.Temp,Min.Temp,Temp.Range,Number.of.Temps.Measured,Confident.in.Temps,Evidence.of.temperature.dependence,Activation.energy,Error,Error.Metric,Model.Used,Single.species.or.multiple,Where.to.find.in.paper,Evidence.that.temp.dependence.differs.between.species,Notes,More.notes,Their.Data.or.Dataset.
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Harpalus rufipes,adult,Aphid,Sitobion avenae,juvenile,23.6,12.3,11.3,4,Somewhat,Yes,0.89,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Macrocheles muscaedomesticae,adult,House fly,Musca domestica,juvenile,33,15,18,4,Somewhat,Yes,0.85,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,Somewhat,Yes,0.52,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,Somewhat,Yes,0.53,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,Somewhat,Yes,0.57,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,Somewhat,Yes,0.58,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,Somewhat,Yes,0.6,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Notonecta glauca,adult,Mosquito,Culex pipiens,juvenile,25,5,20,5,No,Yes,0.76,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Notonecta glauca,adult,Mosquito,Culex pipiens,juvenile,25,5,20,5,No,Yes,1.1,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Notonecta hoffmani,adult,Mosquito,Culex pipiens,juvenile,25,10,15,4,Somewhat,Yes,1.1,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Marine,Invertebrates,Molluscs,Sea snail,heterotroph,Nucella lapillus,adult,Mussel,Mytilus edulis,adult,25,3,22,8,No,Yes,0.91,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,True bug,heterotroph,Orius insidiosus,adult,Mite,Panonychus ulmi,adult,35,18.3,16.7,4,Somewhat,Yes,0.72,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,Somewhat,Yes,0.8,NA,,Arrhenius,single species,From Table S3,,,,datset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,No,Yes,0.99,NA,,Arrhenius,single species,From Table S3,,,,datset
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.46,NA,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.53,NA,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum capture rate?,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Yes,Yes,0.36,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"Fussman et al. calculated E from maximum rates, not at each prey density",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.77,NA,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.86,NA,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.86,NA,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.92,NA,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.93,NA,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum capture rate?,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Yes,Yes,0.7,0.21,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"Fussman et al. calculated E from maximum rates, not at each prey density",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,Somewhat,Yes,0.46,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,Somewhat,Yes,0.63,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,Somewhat,Yes,0.65,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,Somewhat,Yes,0.74,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,Somewhat,Yes,0.85,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Eucalyptus regnans,adult,24,11.5,12.5,4,No,Yes,0.74,NA,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Eucalyptus viminalis,adult,24,11.5,12.5,4,No,Yes,0.65,NA,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Pinus radiata,adult,26,9,17,5,No,Yes,0.77,NA,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,Aquatic insect,Anisops deanei,adult,30,15,15,4,Somewhat,Yes,0.51,NA,,Arrhenius,single species,From Table S3,,"Dell et al. report that the prey are adults, but I could not find this mentioned in the original paper",,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,Aquatic insect,Anisops deanei,adult,30,15,15,4,Somewhat,Yes,0.56,NA,,Arrhenius,single species,From Table S3,,"Dell et al. report that the prey are adults, but I could not find this mentioned in the original paper",,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,adult,Anisops deanei,unsure,30,15,15,4,Yes,Yes,0.56,0.33,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,No,Yes,0.53,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,No,Yes,0.58,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,No,Yes,0.61,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,No,Yes,0.93,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Marine,Invertebrates,Molluscs,Sea snail,heterotroph,Urosalpinx cinerea,adult,Oyster,Crassostrea virginica,juvenile,30,8.3,21.7,5,No,Yes,1.18,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,maximum ingestion rate,"Durbin & Durbin (1992). Effects of temperature and food abundance on grazing and short-term weight change in the marine copepod Acartia hudsonica. Limnology and Oceanography: 37(2): 361-378
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Marine,Invertebrates,Crustaceans,Copepod,heterotroph,Acartia hudsonica,adult,Diatom,Thalassiosira constricta,,16,4.5,11.5,4,Yes,Yes,0.52,0.2,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,The measurements at 4.5° are actually means of measurements at 4° and 5°,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Neoseiulus californicus,,Mite,Tetranychus urticae,eggs,30,20,10,3,Yes,Yes,0.41,0.07,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"The consumer species is listed as Amblyseius californicus, which is synonomous with Neoseiulus californicus. I've changed it to simplify species counting",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Thrips,heterotroph,Scolothrips takahashii,,Mite,Tetranychus urticae,eggs,30,20,10,3,Yes,Yes,0.65,0,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"The standard error is reported as 0, which seems unlikely?",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus japonicus,,Mite,Tetranychus urticae,eggs,30,20,10,3,Yes,Yes,0.94,0.17,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Calathus fuscipes,adult,Beetle,Alphitobius diaperinus,juvenile,NA,NA,15,4,Somewhat,Yes,0.27,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"Fussman et al. (2014) says there are 4 temp treatments and a 15° range of temps. The range measured was 5-30, with 6 levels, so either the lowest or highest 2 temperatures (or one at each end) have been removed",It is unclear what the exact maximum and minimum temperatures are,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Calathus fuscipes,adult,Fruit fly,Drosophila hydei,adult,30,5,25,6,Yes,Yes,0.2,0.12,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Harpalus rufipes,adult,Beetle,Alphitobius diaperinus,juvenile,30,5,25,6,Yes,Yes,0.33,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Harpalus rufipes,adult,Fruit fly,Drosophila hydei,adult,30,5,25,6,Yes,Yes,0.38,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Pterostichus melanarius,adult,Beetle,Alphitobius diaperinus,juvenile,30,5,25,6,Yes,Yes,0.3,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Pterostichus melanarius,adult,Fruit fly,Drosophila hydei,adult,30,5,25,6,Yes,Yes,0.14,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum attack rate?,"Gilioli et al. (2005). Temperature influences on functional response of Coenosia attenuata (Diptera : Muscidae) individuals. Journal of Economic Entomology: 98(5): 1524-1530
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Fly,heterotroph,Coenosia attenuata,adult,Fruit fly,Drosophila melanogaster,adult,36,18,18,4,Yes,Yes,0.82,0.3,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,This paper reports the number of prey attacked (killed) in 12 hour trials. I believe this is probably what Fussmann et al. are using for feeding rate,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Sentis et al. (2012). Using functional response modeling to investigate the effect of temperature on predator feeding rate and energetic efficiency. Oecologia: 169(4): 1117-1125
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coleomegilla maculata,juvenile,Aphid,Myzus persicae,,32.8,13.9,18.9,6,Yes,Yes,0.68,0.1,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,prey killed per unit time,"Işikber (2005). Functional response of two coccinellid predators, Scymnus levaillanti and Cycloneda sanguinea, to the cotton aphid Aphis gossypii. Turkish Journal of Agriculture and Forestry: 29(5): 347-355
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Cycloneda sanguinea,adult,Aphid,Aphis gossypii,unsure,30,20,10,3,Yes,Yes,0.91,0.33,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,prey killed per unit time,"Işikber (2005). Functional response of two coccinellid predators, Scymnus levaillanti and Cycloneda sanguinea, to the cotton aphid Aphis gossypii. Turkish Journal of Agriculture and Forestry: 29(5): 347-355
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Scymnus levaillanti,adult,Aphid,Aphis gossypii,unsure,30,20,10,3,Yes,Yes,1.84,0.25,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Ahn et al. (2010). Functional response of Neoseiulus californicus (Acari: Phytoseiidae) to Tetranychus urticae (Acari: Tetranychidae) on strawberry leaves. Journal of Applied Entomology: 134(2): 98-104
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Neoseiulus californicus,adult,Mite,Tetranychus urticae,egg,NA,NA,15,4,Somewhat,Yes,0.38,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,It is unclear what the exact maximum and minimum temperatures are,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Butler & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Arachnids,Water mite,heterotroph,Piona exigua,unsure,Cladocera,Ceriodaphnia dubia,unsure,22,10,12,4,Yes,Yes,0.63,0.17,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Butler & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Arachnids,Water mite,heterotroph,Piona exigua,unsure,Cladocera,Ceriodaphnia dubia,unsure,22,10,12,4,Yes,Yes,0.53,0.07,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
